Autor	Dimensión	Fecha	Número de catálogo	Procedencia	Serie	Soporte	Tipo de obra	Técnica	Título	URL	Lugar de producción
Anónimo	Alto: 249 cm.;Ancho: 327 cm.	Siglo XII	P007269	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Parte superior del Pantocrátor sostenido por cuatro ángeles. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/parte-superior-del-pantocrator-sostenido-por/a331fb54-a6d4-4732-8509-daf462aa92bb	
Anónimo	Alto: 249 cm.;Ancho: 327 cm.	Siglo XII	P007270	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Parte inferior del Pantocrátor. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/parte-inferior-del-pantocrator-pintura-mural-de/c6906e66-1285-4dc9-b203-929966e4354e	
Anónimo	Alto: 200 cm.;Ancho: 263 cm.	Siglo XII	P007271	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	La Magdalena. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/la-magdalena-pintura-mural-de-la-ermita-de-la/0ad8f53d-8249-40b0-9e75-73d59f0ec014	
Anónimo	Alto: 200 cm.;Ancho: 185 cm.	Siglo XII	P007272	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Adoración de un Rey Mago. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/adoracion-de-un-rey-mago-pintura-mural-de-la/ee612310-a1b0-4b21-b40c-52538f31855e	
Anónimo	Alto: 185 cm.;Ancho: 243 cm.	Siglo XII	P007273	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Dos apóstoles y el resto de un tercero. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/dos-apostoles-y-el-resto-de-un-tercero-pintura/c73c8574-3607-4efb-90fc-5fc6a888b34b	
Anónimo	Alto: 185 cm.;Ancho: 220 cm.	Siglo XII	P007274	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Dos apóstoles. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/dos-apostoles-pintura-mural-de-la-ermita-de-la/0cd8b144-33ad-4793-a384-40a31d28fab6	
Anónimo	Alto: 200 cm.;Ancho: 200 cm.	Siglo XII	P007275	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Caín (o Melquisedec) presentando ofrenda. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/cain-o-melquisedec-presentando-ofrenda-pintura/80637fe6-9592-4afa-a11c-bf4da3e0411f	
Anónimo	Alto: 200 cm.;Ancho: 245 cm.	Siglo XII	P007276	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Abel presentando ofrendas. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/abel-presentando-ofrendas-pintura-mural-de-la/85ce4ccb-b34c-40fc-8e3d-4fa044f0e140	
Anónimo	Alto: 140 cm.;Ancho: 75 cm.	Siglo XII	P007277	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Intradós de ventana. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/intrados-de-ventana-pintura-mural-de-la-ermita-de/bed9ff9c-1276-4578-b8d3-e38794ee751e	
Anónimo	Alto: 181 cm.;Ancho: 283 cm.	Siglo XII	P007278	Ermita de la Vera Cruz, Maderuelo, Segovia, 1948.	Pintura mural de la ermita de la Vera Cruz de Maderuelo.	Revestimiento mural trasladado a lienzo	Pintura	Pintura al fresco	Dos ángeles y un santo arzobispo. Pintura mural de la ermita de la Vera Cruz de Maderuelo	https://www.museodelprado.es/coleccion/obra-de-arte/dos-angeles-y-un-santo-arzobispo-pintura-mural-de/d1dfbd36-33dc-437b-a147-565ecaff81a8	
