"img","x_pos","y_pos"
"P004803",0.52753633,0.4819536
"P006972",0.46995932,0.66037685
"P006966",0.31017828,0.65657973
"P004817",0.53762066,0.6740553
"P001947",0.35679093,0.4376338
"P002296",0.133807,0.41024387
"P003188",0.19636887,0.23088019
"P004181",0.7208618,0.67545205
"P003836",0.73060507,0.710804
"P006796",0.33862287,0.7260674
"P007488",0.6528418,0.7990605
"P006782",0.29635534,0.6264528
"P004195",0.46132627,0.048510883
"P003822",0.2902342,0.4945858
"P002282",0.25422618,0.25862563
"P001760",0.38715255,0.5962978
"P008022",0.7954068,0.43238574
"P003177",0.44940928,0.39512622
"P004618",0.34547138,0.6874177
"P005506",0.21166861,0.5964628
"P002269",0.5734204,0.7126866
"P005260",0.4850424,0.45229387
"P000318",0.37609085,0.77820194
"P007477",0.6661726,0.70952535
"P006769",0.15242925,0.2929481
"P001006",0.39688885,0.8015872
"P007463",0.6831437,0.62842685
"P001012",0.37172997,0.4924611
"P005274",0.273308,0.670816
"P003163",0.40311113,0.81118584
"P005512",0.6589617,0.5144755
"P001774",0.7543132,0.49399766
"P004624",0.1436847,0.2553183
"P002255",0.62504303,0.714569
"P006033",0.27571917,0.7774172
"P000442",0.21950933,0.28410947
"P000324",0.48849317,0.78891844
"P006755",0.41347978,0.2647102
"P002533",0.21584603,0.6127543
"P004142",0.20619571,0.3227425
"P002527",0.5904827,0.6099524
"P005248",0.4542779,0.5097105
"P004156",0.3310246,0.6707561
"P006999",0.21207109,0.50545245
"P000330",0.31013662,0.6794222
"P001748",0.5893462,0.648181
"P006027",0.6513444,0.49947163
"P007339",0.66637295,0.77328527
"P001990",0.7967363,0.45298943
"P002241",0.13402954,0.46375284
"P002916",0.16157262,0.3438454
"P000867",0.16083631,0.33890888
"P000873",0.40949163,0.5605339
"P002902",0.41908568,0.26088226
"P007852",0.47033304,0.26643524
"P004383",0.6567538,0.80531365
"P005923",0.43546692,0.79263514
"P002094",0.26471174,0.37595257
"P000683",0.540312,0.16960786
"P000697",0.39633787,0.5445114
"P002080",0.56005013,0.74830735
"P005089",0.45790964,0.44850475
"P007846",0.109246545,0.40192077
"P006580",0.15806204,0.55381376
"P001204",0.28549942,0.3009242
"P007675",0.7228057,0.6711099
"P003413",0.23606235,0.21249722
"P005704",0.064213805,0.4252406
"P003375",0.29988477,0.50634974
"P007113",0.43206948,0.11178024
"P008220",0.4839329,0.38734502
"P001562",0.2125798,0.22552252
"P000668",0.46050256,0.05023621
"P007107",0.2936619,0.2932323
"P008234",0.607385,0.41549513
"P006219",0.5860268,0.7182631
"P001576",0.3275097,0.70870376
"P005710",0.5341357,0.42406395
"P003361",0.57832086,0.38444835
"P003407",0.31539413,0.29842898
"P004368",0.43155745,0.79414827
"P002719",0.24216068,0.6161248
"P001210",0.70342594,0.63711476
"P007661",0.64803976,0.43137258
"P002731",0.29478082,0.3681218
"P007891",0.6508222,0.72107697
"P006557",0.4108418,0.25659844
"P007649",0.42594564,0.8412836
"P000126",0.6463408,0.35471058
"P000640",0.5849846,0.71683496
"P000898",0.61641127,0.63788354
"P006231",0.4358436,0.54550076
